t,rsp1,ppg1,rsp2,ppg2
0,0.35386,0.43597,0.20626,0.18866
0.008,0.35679,0.43206,0.20821,0.20137
0.016,0.35875,0.42815,0.21017,0.21994
0.024,0.36168,0.42424,0.21114,0.2522
0.032,0.36364,0.42131,0.2131,0.29717
0.04,0.36559,0.41838,0.21408,0.35288
0.048,0.36657,0.4174,0.21603,0.4174
0.056,0.36852,0.41642,0.21701,0.48778
0.064,0.36852,0.41544,0.21799,0.55523
0.072,0.36852,0.41447,0.21896,0.6129
0.08,0.36852,0.41251,0.21994,0.6608
0.088,0.36755,0.41153,0.22092,0.70186
0.096,0.36657,0.40958,0.2219,0.73412
0.104,0.36559,0.40762,0.2219,0.75855
0.112,0.36168,0.40665,0.22287,0.77322
0.12,0.35875,0.40665,0.22287,0.78104
0.128,0.35288,0.40665,0.22287,0.78397
0.136,0.34702,0.40762,0.22287,0.78201
0.144,0.34115,0.4086,0.22287,0.77419
0.152,0.33431,0.4086,0.2219,0.76246
0.16,0.32747,0.41056,0.2219,0.7478
0.168,0.3216,0.41153,0.2219,0.72923
0.176,0.31183,0.41153,0.2219,0.7087
0.184,0.30303,0.41056,0.22092,0.68622
0.192,0.29228,0.4086,0.21994,0.66178
0.2,0.28152,0.40665,0.21799,0.63832
0.208,0.26882,0.40469,0.21603,0.61779
0.216,0.25611,0.40469,0.21505,0.59824
0.224,0.24242,0.40567,0.2131,0.57869
0.232,0.22874,0.4086,0.21114,0.55816
0.24,0.21799,0.41251,0.20919,0.53666
0.248,0.20626,0.42033,0.20821,0.51613
0.256,0.19648,0.43206,0.20626,0.49658
0.264,0.18768,0.45259,0.2043,0.47703
0.272,0.17791,0.4741,0.20332,0.45943
0.28,0.16911,0.4956,0.20137,0.44282
0.288,0.16129,0.51808,0.20039,0.4262
0.296,0.15347,0.5347,0.19844,0.40958
0.304,0.14663,0.55034,0.19746,0.39296
0.312,0.14076,0.56403,0.19648,0.37732
0.32,0.13685,0.57576,0.1955,0.36364
0.328,0.13294,0.58456,0.19453,0.34409
0.336,0.13001,0.59238,0.19453,0.32649
0.344,0.1261,0.59629,0.19453,0.31476
0.352,0.12414,0.59922,0.19453,0.3001
0.36,0.12121,0.60117,0.19453,0.28641
0.368,0.11926,0.60215,0.19453,0.27468
0.376,0.11632,0.60313,0.1955,0.26491
0.384,0.11437,0.60313,0.19648,0.25513
0.392,0.11241,0.60117,0.19746,0.24536
0.4,0.11046,0.59824,0.19844,0.23656
0.408,0.1085,0.59335,0.20039,0.22776
0.416,0.10655,0.58553,0.20235,0.22092
0.424,0.10557,0.57771,0.2043,0.2131
0.432,0.10166,0.57185,0.20626,0.20528
0.44,0.098729,0.56207,0.20821,0.19844
0.448,0.094819,0.54741,0.20919,0.19257
0.456,0.089932,0.53372,0.21114,0.18866
0.464,0.086022,0.52102,0.21212,0.18475
0.472,0.082111,0.50929,0.2131,0.1828
0.48,0.078201,0.50244,0.21505,0.17986
0.488,0.075269,0.49756,0.21603,0.17791
0.496,0.070381,0.4956,0.21701,0.17498
0.504,0.065494,0.49462,0.21701,0.17107
0.512,0.060606,0.49365,0.21799,0.16911
0.52,0.054741,0.49365,0.21896,0.16813
0.528,0.048876,0.49365,0.21994,0.16618
0.536,0.043988,0.49169,0.21994,0.16422
0.544,0.038123,0.48876,0.21994,0.16227
0.552,0.033236,0.4868,0.21896,0.16031
0.56,0.028348,0.48387,0.21896,0.16031
0.568,0.024438,0.48094,0.21799,0.16129
0.576,0.022483,0.47801,0.21799,0.16325
0.584,0.01955,0.47507,0.21701,0.1652
0.592,0.01955,0.47116,0.21603,0.16716
0.6,0.018573,0.46823,0.21505,0.16813
0.608,0.01955,0.46334,0.21505,0.17009
0.616,0.021505,0.45846,0.21505,0.17204
0.624,0.02346,0.45357,0.21408,0.17302
0.632,0.026393,0.44868,0.21408,0.174
0.64,0.030303,0.44379,0.21408,0.17595
0.648,0.035191,0.43891,0.21408,0.17791
0.656,0.042033,0.435,0.21408,0.17986
0.664,0.049853,0.43109,0.21505,0.18182
0.672,0.060606,0.4262,0.21505,0.1828
0.68,0.070381,0.42326,0.21505,0.18475
0.688,0.082111,0.42033,0.21603,0.18671
0.696,0.094819,0.41838,0.21603,0.18866
0.704,0.10753,0.41642,0.21701,0.19062
0.712,0.12121,0.41447,0.21896,0.19355
0.72,0.13392,0.41447,0.21994,0.19648
0.728,0.14663,0.41349,0.2219,0.19941
0.736,0.15934,0.41251,0.22287,0.20137
0.744,0.17107,0.41251,0.22483,0.20235
0.752,0.18475,0.41251,0.22678,0.20137
0.76,0.19746,0.41251,0.22776,0.20039
0.768,0.21114,0.41251,0.22972,0.19941
0.776,0.22581,0.41349,0.23069,0.20039
0.784,0.23754,0.41544,0.23167,0.20821
0.792,0.25024,0.4174,0.23363,0.22483
0.8,0.26197,0.41935,0.2346,0.2522
0.808,0.2737,0.42033,0.23656,0.28446
0.816,0.28446,0.42131,0.23851,0.32454
0.824,0.29521,0.42131,0.23949,0.37732
0.832,0.30596,0.42033,0.24047,0.43988
0.84,0.31672,0.41935,0.24145,0.50733
0.848,0.32845,0.41642,0.24242,0.57576
0.856,0.34018,0.41447,0.24438,0.64027
0.864,0.35191,0.41349,0.24536,0.6999
0.872,0.36364,0.41349,0.24731,0.75073
0.88,0.37439,0.41642,0.24829,0.79081
0.888,0.38514,0.42131,0.24927,0.82111
0.896,0.39394,0.42815,0.25024,0.84066
0.904,0.40371,0.43695,0.25122,0.84946
0.912,0.41447,0.45064,0.2522,0.84946
0.92,0.42522,0.46823,0.25415,0.84457
0.928,0.43793,0.4868,0.25513,0.83382
0.936,0.44966,0.50538,0.25611,0.81916
0.944,0.46139,0.52395,0.25806,0.80254
0.952,0.47312,0.54154,0.25904,0.78201
0.96,0.48387,0.55816,0.26002,0.76051
0.968,0.4956,0.57185,0.261,0.73607
0.976,0.50831,0.58162,0.26197,0.70968
0.984,0.52199,0.58749,0.26197,0.68231
0.992,0.53568,0.59042,0.26197,0.65396
1,0.55034,0.59042,0.261,0.62659
1.008,0.56696,0.5914,0.261,0.60215
1.016,0.5826,0.59042,0.26002,0.58065
1.024,0.59922,0.58944,0.25904,0.55816
1.032,0.61681,0.58651,0.25806,0.53568
1.04,0.63245,0.5826,0.25709,0.51417
1.048,0.64712,0.57771,0.25611,0.49365
1.056,0.66178,0.57087,0.25513,0.47312
1.064,0.67546,0.56305,0.25415,0.45161
